ticker,exchange,company,country,sector,mktcap_2022,revenue_2022,totReturn_20050101_20231231,mapped_exchange,family
WMT,US,WALMART INC,United States,Consumer Staples,386015395840,572753969152,8.154345719702437,NA,Family
AMZN,US,AMAZON.COM INC,United States,Consumer Discretionary,860327968768,513982988288,24.921879590803208,NA,Non-Family
0386.HK,HK,CHINA PETROLEUM & CHEMICAL-H,China,Energy,72088992006.49408,484389266991.44006,8.494288314256337,HK,Non-Family
0857.HK,HK,PETROCHINA CO LTD-H,China,Energy,126309216372.01752,481684430228.50525,5.818053027943271,HK,Non-Family
XOM,US,EXXON MOBIL CORP,United States,Energy,450244608000,398674984960,7.080301481718032,NA,Non-Family
AAPL,US,APPLE INC,United States,Technology,2398369349632,394328014848,32.06999178408863,NA,Non-Family
SHEL.L,LN,SHELL PLC,United Kingdom,Energy,196279058432,381314007040,NA,L,Non-Family
UNH,US,UNITEDHEALTH GROUP INC,United States,Health Care,495188115456,324161994752,15.224188814315308,NA,Non-Family
CVS,US,CVS HEALTH CORP,United States,Health Care,121146998784,322467004416,8.710708001039013,NA,Non-Family
601668.SS,CH,CHINA STATE CONSTRUCTION -A,China,Industrials,32522707870.002613,305599132052.66705,NA,SS,Non-Family
VOW3.DE,GR,VOLKSWAGEN AG,Germany,Consumer Discretionary,79278798639.9232,293917885365.1011,10.021199841630501,DE,Family
UN0.DE,GR,UNIPER SE,Germany,Utilities,23089448446.5664,288726271268.40186,NA,DE,Non-Family
GOOGL,US,ALPHABET INC-CL A,United States,Communications,1133667287040,282836008960,19.377243705318527,NA,Non-Family
7203.T,JP,TOYOTA MOTOR CORP,Japan,Consumer Discretionary,251910791893.1227,279453761154.0133,8.793936173933803,T,Non-Family
MCK,US,MCKESSON CORP,United States,Health Care,44388851712,263965999104,16.103458267691508,NA,Non-Family
TTE.PA,FP,TOTALENERGIES SE,France,Energy,155915730944,263310000128,7.945997912465352,PA,Non-Family
GLEN.L,LN,GLENCORE PLC,Switzerland,Materials,85306712064,255983992832,NA,L,Non-Family
BP-.L,LN,BP PLC,United Kingdom,Energy,103260168192,241391992832,4.736450961240224,L,Non-Family
COR,US,CENCORA INC,United States,Health Care,27905562624,238587002880,16.518943250384766,NA,Non-Family
CVX,US,CHEVRON CORP,United States,Energy,343762173952,235717001216,9.6841792674633,NA,Non-Family
005930.KS,KS,SAMSUNG ELECTRONICS CO LTD,South Korea,Technology,262795505739.05844,234592893544.18176,13.970006179187088,KS,Non-Family
BRK-B,US,BERKSHIRE HATHAWAY INC-CL A,United States,Financials,684192890880,234121003008,10.052481485313237,NA,Family
COST,US,COSTCO WHOLESALE CORP,United States,Consumer Staples,234971365376,226954002432,17.086806790944344,NA,Non-Family
2317.TW,TT,HON HAI PRECISION INDUSTRY,Taiwan,Technology,45062306213.86267,222430324867.92502,8.050562176210097,TW,Non-Family
601398.SS,CH,IND & COMM BK OF CHINA-A,China,Financials,214339161610.76163,214959968704.26328,NA,SS,Non-Family
MSFT,US,MICROSOFT CORP,United States,Technology,1916979118080,198269992960,17.11442641605263,NA,Non-Family
0939.HK,HK,CHINA CONSTRUCTION BANK-H,China,Financials,158519762326.2691,196471330005.36887,NA,HK,Non-Family
STLA,US,STELLANTIS NV,Netherlands,Consumer Discretionary,45629888256,189160734676.42633,NA,NA,Non-Family
1288.HK,HK,AGRICULTURAL BANK OF CHINA-H,China,Financials,145224340836.6915,181917736448.1124,NA,HK,Non-Family
CAH,US,CARDINAL HEALTH INC,United States,Health Care,14269710336,181363998720,7.123338251608202,NA,Non-Family
CI,US,THE CIGNA GROUP,United States,Health Care,98963308544,180515995648,13.842577253016408,NA,Non-Family
MPC,US,MARATHON PETROLEUM CORP,United States,Energy,52841058304,177453006848,NA,NA,Non-Family
VLO,US,VALERO ENERGY CORP,United States,Energy,47208239104,176383000576,13.234080759776079,NA,Non-Family
GAZP.ME,RM,GAZPROM PJSC,Russia,Energy,52552483839.328636,173117841573.93976,NA,ME,Non-Family
0390.HK,HK,CHINA RAILWAY GROUP LTD-H,China,Industrials,18780189093.43925,171658937637.12228,NA,HK,Non-Family
PSX,US,PHILLIPS 66,United States,Energy,48485040128,169989996544,NA,NA,Non-Family
1186.HK,HK,CHINA RAILWAY CONSTRUCTION-H,China,Industrials,14132434986.808918,163028601731.38727,NA,HK,Non-Family
F,US,FORD MOTOR CO,United States,Consumer Discretionary,46359293952,158057005056,2.2125090661826885,NA,Family
MBG.DE,GR,MERCEDES-BENZ GROUP AG,Germany,Consumer Discretionary,70369128759.7056,158009962908.6438,8.365050234655346,DE,Non-Family
GM,US,GENERAL MOTORS CO,United States,Consumer Discretionary,47096000512,156734996480,NA,NA,Non-Family
ELV,US,ELEVANCE HEALTH INC,United States,Health Care,122065346560,156594995200,12.837645453164415,NA,Non-Family
JD,US,JD.COM INC-ADR,China,Consumer Discretionary,88002832528.3391,155581851185.757,NA,NA,Non-Family
JPM,US,JPMORGAN CHASE & CO,United States,Financials,393483976704,154792001536,11.020580588301021,NA,Non-Family
8058.T,JP,MITSUBISHI CORP,Japan,Consumer Staples,55886681208.2922,153753884347.98083,12.407518184207467,T,Non-Family
3988.HK,HK,BANK OF CHINA LTD-H,China,Financials,126984535658.82933,151780925187.5035,NA,HK,Non-Family
HD,US,HOME DEPOT INC,United States,Consumer Discretionary,379368898560,151156998144,14.372684803430879,NA,Non-Family
BMW.DE,GR,BAYERISCHE MOTOREN WERKE AG,Germany,Consumer Discretionary,59067675099.135994,150208322040.23294,9.731474829324881,DE,Family
EQNR.OL,NO,EQUINOR ASA,Norway,Energy,111892094976,149003993088,12.174103461182773,OL,Non-Family
CNC,US,CENTENE CORP,United States,Health Care,45167337472,144547004416,13.155288850591852,NA,Non-Family
ENEL.MI,IM,ENEL SPA,Italy,Utilities,54735798737.305595,142880643188.98004,6.490647474733624,MI,Non-Family
ENI.MI,IM,ENI SPA,Italy,Energy,47607026570.44479,139572288218.93146,5.257246251085412,MI,Non-Family
0941.HK,HK,CHINA MOBILE LTD,China,Communications,144570500820.45633,139376288301.66113,9.598844531197859,HK,Non-Family
KR,US,KROGER CO,United States,Consumer Staples,31559219200,137888006144,10.854827705552438,NA,Non-Family
VZ,US,VERIZON COMMUNICATIONS INC,United States,Communications,165393285120,136834998272,5.257590022228231,NA,Non-Family
BABA,US,ALIBABA GROUP HOLDING-SP ADR,China,Consumer Discretionary,294947434922.39746,132949149039.3054,NA,NA,Non-Family
WBA,US,WALGREENS BOOTS ALLIANCE INC,United States,Consumer Staples,30314258432,132703002624,0.4348890180155607,NA,Non-Family
7267.T,JP,HONDA MOTOR CO LTD,Japan,Consumer Discretionary,49069293956.16979,129600681641.79005,5.365095262216779,T,Non-Family
2318.HK,HK,PING AN INSURANCE GROUP CO-H,China,Financials,123108273061.78065,129573428308.00139,11.43742458078274,HK,Non-Family
0267.HK,HK,CITIC LTD,China,Financials,30724555201.345203,128281910270.01674,-1.4486928360424645,HK,Non-Family
PETR4.SA,BZ,PETROBRAS - PETROLEO BRAS-PR,Brazil,Energy,60446931888.78381,124447548304.8897,14.496950357079786,SA,Non-Family
600153.SS,CH,XIAMEN C & D INC-A,China,Industrials,5609904423.506219,123846993081.9845,14.2221491130454,SS,Non-Family
EOAN.DE,GR,E.ON SE,Germany,Utilities,26097652779.008,121822406362.12825,2.347347096542518,DE,Non-Family
FNMA,US,FANNIE MAE,United States,Financials,409268160,121596002304,-19.392032821546746,NA,Non-Family
CMCSA,US,COMCAST CORP-CLASS A,United States,Communications,147577569280,121427001344,9.259331192457076,NA,Family
T,US,AT&T INC,United States,Communications,131218964480,120741003264,4.967715176494236,NA,Non-Family
DTE.DE,GR,DEUTSCHE TELEKOM AG-REG,Germany,Communications,99270841683.14879,120281456012.91602,6.77383511284213,DE,Non-Family
META,US,META PLATFORMS INC-CLASS A,United States,Communications,314568769536,116608999424,NA,NA,Non-Family
BAC,US,BANK OF AMERICA CORP,United States,Financials,264853291008,115053002752,0.45759109971748035,NA,Non-Family
600104.SS,CH,SAIC MOTOR CORP LTD-A,China,Consumer Discretionary,24011675152.639668,110646821704.46378,11.25538292350301,SS,Non-Family
005380.KS,KS,HYUNDAI MOTOR CO,South Korea,Consumer Discretionary,24311968518.125805,110338406791.40186,9.15079262021241,KS,Non-Family
8001.T,JP,ITOCHU CORP,Japan,Consumer Staples,50098198373.675545,109479803156.85408,17.606965331518374,T,Non-Family
9432.T,JP,NIPPON TELEGRAPH & TELEPHONE,Japan,Communications,103277214132.0171,108260615465.06718,10.278039931616378,T,Non-Family
1800.HK,HK,CHINA COMMUNICATIONS CONST-H,China,Industrials,15831693711.767607,106932300322.19977,NA,HK,Non-Family
TGT,US,TARGET CORP,United States,Consumer Staples,102582231040,106004996096,7.818837517065069,NA,Non-Family
KCHOL.IS,TI,KOC HOLDING AS,Turkey,Energy,11964363097.40992,104954831128.39957,24.61482056295936,IS,Family
8031.T,JP,MITSUI & CO LTD,Japan,Materials,43829407176.571236,104708275368.6743,13.326372951530407,T,Non-Family
034730.KS,KS,SK INC,South Korea,Energy,8301079758.182484,102520398241.63887,NA,KS,Family
ADM,US,ARCHER-DANIELS-MIDLAND CO,United States,Consumer Staples,50788950016,101556002816,8.826613557645402,NA,Non-Family
DELL,US,DELL TECHNOLOGIES -C,United States,Technology,42573680640,101196996608,NA,NA,Family
C,US,CITIGROUP INC,United States,Financials,87609892864,101077999616,-9.147053087646261,NA,Non-Family
UPS,US,UNITED PARCEL SERVICE-CL B,United States,Industrials,149293793280,100337999872,6.280026499335234,NA,Non-Family
PFE,US,PFIZER INC,United States,Health Care,287763824640,100329996288,4.7204740601751505,NA,Non-Family
6178.T,JP,JAPAN POST HOLDINGS CO LTD,Japan,Financials,27066924376.70286,100319698338.79146,NA,T,Non-Family
DHL.DE,GR,DHL GROUP,Germany,Industrials,46689368140.5952,99467586167.45746,9.329696722728343,DE,Non-Family
NESN.SW,SW,NESTLE SA-REG,Switzerland,Consumer Staples,310082074916.05304,99314233206.83882,9.507884554755751,SW,Non-Family
ENGI.PA,FP,ENGIE,France,Utilities,34713345639.833595,98866164348.41602,NA,PA,Non-Family
5020.T,JP,ENEOS HOLDINGS INC,Japan,Energy,12098780165.054293,97264963574.3347,NA,T,Non-Family
LICI.NS,IN,LIFE INSURANCE CORPORATION,India,Financials,NA,97235657768.93309,NA,NS,Non-Family
LOW,US,LOWE'S COS INC,United States,Consumer Discretionary,157443293184,96250003456,13.156204076096966,NA,Non-Family
PTT.BK,TB,PTT PCL,Thailand,Energy,27405771254.573784,96248859023.90114,8.222365552487233,BK,Non-Family
SAN.MC,SM,BANCO SANTANDER SA,Spain,Financials,49682092147.507195,95952786354.47202,1.6164561858155402,MC,Non-Family
FDX,US,FEDEX CORP,United States,Industrials,58356137984,93511999488,6.030071907990342,NA,Non-Family
RELIANCE.NS,IN,RELIANCE INDUSTRIES LTD,India,Energy,234830380579.4784,93415313707.42192,22.740455380895508,NS,Family
CS.PA,FP,AXA SA,France,Financials,65632074564.8128,93340654235.36938,7.768520392050626,PA,Non-Family
HUM,US,HUMANA INC,United States,Health Care,64010764288,92870000640,16.126233288264856,NA,Non-Family
BN.TO,CN,BROOKFIELD CORP,Canada,Financials,49517965312,92769001472,13.560743127731435,TO,Non-Family
BAS.DE,GR,BASF SE,Germany,Materials,44414157331.6608,91979814629.76094,7.805382024871554,DE,Non-Family
AD.AS,NA,KONINKLIJKE AHOLD DELHAIZE N,Netherlands,Consumer Staples,28097260269.363197,91618540468.85788,10.920884173868561,AS,Non-Family
6501.T,JP,HITACHI LTD,Japan,Industrials,49054056135.30766,91412575036.81122,7.48108883353189,T,Non-Family
ET,US,ENERGY TRANSFER LP,United States,Energy,36731068416,89875996672,NA,NA,Non-Family
CA.PA,FP,CARREFOUR SA,France,Consumer Staples,12432625198.694399,88402872554.84991,-0.48159343775970864,PA,Non-Family
6758.T,JP,SONY GROUP CORP,Japan,Technology,129541429255.41296,88357158582.83861,7.485847919040367,T,Non-Family
601618.SS,CH,METALLURGICAL CORP OF CHIN-A,China,Industrials,8866033238.0483,88133604905.76588,NA,SS,Non-Family
FMCC,US,FREDDIE MAC,United States,Financials,229666048,86716997632,-20.476269313653862,NA,Non-Family
PEP,US,PEPSICO INC,United States,Consumer Staples,248768823296,86391996416,9.367262618993099,NA,Non-Family
600704.SS,CH,WUCHAN ZHONGDA GROUP CO L-A,China,Materials,3529570628.243412,85736407948.03516,10.004886641016908,SS,Non-Family
601669.SS,CH,POWER CONSTRUCTION CORP OF-A,China,Industrials,15544302781.433916,85151135083.91974,NA,SS,Non-Family
TSCO.L,LN,TESCO PLC,United Kingdom,Consumer Staples,29293092852.5312,84204546604.17375,2.3613672548012943,L,Non-Family
WFC,US,WELLS FARGO & CO,United States,Financials,158297784320,83441999872,5.3707028375549415,NA,Non-Family
CDI.PA,FP,CHRISTIAN DIOR SE,France,Consumer Discretionary,131594919616.512,83402957240.87778,18.217454794616515,PA,Non-Family
MC.PA,FP,LVMH MOET HENNESSY LOUIS VUI,France,Consumer Discretionary,364904716553.4208,83402957240.87778,17.28943820375917,PA,Family
1658.HK,HK,POSTAL SAVINGS BANK OF CHI-H,China,Financials,60915719599.91883,83365777534.76498,NA,HK,Non-Family
DIS,US,WALT DISNEY CO/THE,United States,Communications,168001732608,82721996800,7.584529948230845,NA,Non-Family
0700.HK,HK,TENCENT HOLDINGS LTD,China,Communications,407328783259.21204,82465360742.46872,36.48233515152799,HK,Non-Family
1099.HK,HK,SINOPHARM GROUP CO-H,China,Health Care,7935936766.300409,82107803901.04785,NA,HK,Non-Family
MAERSK-B.CO,DC,AP MOLLER-MAERSK A/S-B,Denmark,Industrials,39638515712,81529004032,6.8788854944660915,CO,Family
TSLA,US,TESLA INC,United States,Consumer Discretionary,389741510656,81462001664,NA,NA,Non-Family
ALV.DE,GR,ALLIANZ SE-REG,Germany,Financials,86415559944.6016,80306310482.24352,9.463931856943697,DE,Non-Family
PG,US,PROCTER & GAMBLE CO/THE,United States,Consumer Staples,344204509184,80186998784,8.26726221137073,NA,Non-Family
600057.SS,CH,XIAMEN XIANGYU CO LTD-A,China,Industrials,3355687454.2660832,80025994511.85434,3.363290319200929,SS,Non-Family
JNJ,US,JOHNSON & JOHNSON,United States,Health Care,461691912192,79989997568,7.885557154635148,NA,Non-Family
MT,US,ARCELORMITTAL,Luxembourg,Materials,21198329856,79843999744,-2.8322668009069463,NA,Family
TMUS,US,T-MOBILE US INC,United States,Communications,172754403328,79571001344,NA,NA,Non-Family
REP.MC,SM,REPSOL SA,Spain,Energy,21113343323.7504,79157179088.04938,3.816591855292173,MC,Non-Family
IOCL.NS,IN,INDIAN OIL CORP LTD,India,Energy,14751263698.729206,79103316093.8332,10.728653169153146,NS,Non-Family
HSBA.L,LN,HSBC HOLDINGS PLC,United Kingdom,Financials,124581216256,78738997248,3.877125347581889,L,Non-Family
COP,US,CONOCOPHILLIPS,United States,Energy,144415014912,78493999104,10.425987071714161,NA,Non-Family
8267.T,JP,AEON CO LTD,Japan,Consumer Staples,19106462568.325947,78206954108.30484,5.030250854983476,T,Non-Family
SIE.DE,GR,SIEMENS AG-REG,Germany,Industrials,77202286955.33672,78012810289.21696,9.316575991009191,DE,Non-Family
600755.SS,CH,XIAMEN ITG GROUP CORP LTD-A,China,Consumer Discretionary,2278000855.82582,77616488843.3189,10.566395243902615,SS,Non-Family
GE,US,GENERAL ELECTRIC,United States,Industrials,91256348672,76555001856,-0.23413105786445065,NA,Non-Family
601138.SS,CH,FOXCONN INDUSTRIAL INTERNE-A,China,Technology,26188814398.28371,76115245186.55539,NA,SS,Non-Family
2330.TW,TT,TAIWAN SEMICONDUCTOR MANUFAC,Taiwan,Technology,378450220968.69507,75985866106.84407,18.574600370619955,TW,Non-Family
8002.T,JP,MARUBENI CORP,Japan,Consumer Staples,20201843996.05133,75774220669.07663,15.187898131942635,T,Non-Family
3328.HK,HK,BANK OF COMMUNICATIONS CO-H,China,Financials,47118978965.00739,75587101113.20584,NA,HK,Non-Family
7201.T,JP,NISSAN MOTOR CO LTD,Japan,Consumer Discretionary,17640200474.366566,75026099109.17027,-1.1227706374468682,T,Non-Family
2202.HK,HK,CHINA VANKE CO LTD-H,China,Real Estate,29515605239.32392,74923926681.53891,NA,HK,Non-Family
BNP.PA,FP,BNP PARIBAS,France,Financials,70360253402.3168,73767541537.9772,5.2577833464042545,PA,Non-Family
WIL.SI,SP,WILMAR INTERNATIONAL LTD,Singapore,Consumer Staples,19440965632,73398976512,13.251336158913452,SI,Non-Family
JBSS3.SA,BZ,JBS SA,Brazil,Consumer Staples,9225719768.488747,72746863705.2675,NA,SA,Family
600036.SS,CH,CHINA MERCHANTS BANK-A,China,Financials,137104673064.09998,72339209487.11053,14.642635216087129,SS,Non-Family
3396.HK,HK,LEGEND HOLDINGS CORP-H,China,Financials,2521825548.3721337,71923675986.48355,NA,HK,Non-Family
ACI,US,ALBERTSONS COS INC - CLASS A,United States,Consumer Staples,17472516096,71887003648,NA,NA,Non-Family
0992.HK,HK,LENOVO GROUP LTD,China,Technology,13098341376,71618215936,12.175006232644915,HK,Non-Family
0728.HK,HK,CHINA TELECOM CORP LTD-H,China,Communications,52610756306.49697,71594337571.13954,4.892443382836453,HK,Non-Family
8015.T,JP,TOYOTA TSUSHO CORP,Japan,Materials,14645753025.074038,71494265727.5283,11.580825830606623,T,Non-Family
ONGC.NS,IN,OIL & NATURAL GAS CORP LTD,India,Energy,27161422571.018707,71379609751.37651,8.76000522484004,NS,Non-Family
0358.HK,HK,JIANGXI COPPER CO LTD-H,China,Materials,7292075799.727482,71369798618.69229,7.540731915406673,HK,Non-Family
1339.HK,HK,PEOPLE'S INSURANCE CO GROU-H,China,Financials,29757201908.79309,71234319962.11914,NA,HK,Non-Family
8750.T,JP,DAI-ICHI LIFE HOLDINGS INC,Japan,Financials,21060633001.90852,70501296234.66708,NA,T,Non-Family
MET,US,METLIFE INC,United States,Financials,56383352832,68769996800,5.965132073106871,NA,Non-Family
GS,US,GOLDMAN SACHS GROUP INC,United States,Financials,115004358656,68710998016,8.742940070386517,NA,Non-Family
SYY,US,SYSCO CORP,United States,Consumer Staples,43906093056,68636147712,6.456112823742544,NA,Non-Family
BG,US,BUNGE GLOBAL SA,United States,Consumer Staples,14956314624,67231997952,5.1333830360405175,NA,Non-Family
000270.KS,KS,KIA CORP,South Korea,Consumer Discretionary,18925961257.99621,67187380374.55652,14.2483307876766,KS,Family
RTX,US,RTX CORP,United States,Industrials,147972947968,67073998848,7.930351233558941,NA,Non-Family
3382.T,JP,SEVEN & I HOLDINGS CO LTD,Japan,Consumer Staples,42893768036.27834,66664469868.31277,NA,T,Non-Family
BA,US,BOEING CO/THE,United States,Industrials,113834876928,66608001024,10.950609395435551,NA,Non-Family
ROG.SW,SW,ROCHE HOLDING AG-GENUSSCHEIN,Switzerland,Health Care,251829906697.06976,66308336725.88398,6.485680809961392,SW,Family
LMT,US,LOCKHEED MARTIN CORP,United States,Industrials,123568463872,65984000000,14.885309095385612,NA,Non-Family
MS,US,MORGAN STANLEY,United States,Financials,142449934336,65935998976,5.932639958648633,NA,Non-Family
6752.T,JP,PANASONIC HOLDINGS CORP,Japan,Technology,22818658306.021717,65801714705.0476,0.8659479506323065,T,Non-Family
005490.KS,KS,POSCO HOLDINGS INC,South Korea,Materials,16694765282.667048,65783369724.37346,8.652439159497561,KS,Non-Family
OMV.VI,AV,OMV AG,Austria,Energy,16850671058.534399,65618315580.94109,7.416497206176609,VI,Non-Family
DG.PA,FP,VINCI SA,France,Industrials,56316209015.193596,65582503104.112144,12.27260774820287,PA,Non-Family
BHP.AX,AU,BHP GROUP LTD,Australia,Materials,144211509248,65097998336,12.317356505822396,AX,Non-Family
600606.SS,CH,GREENLAND HOLDINGS CORP LT-A,China,Real Estate,6071024748.209782,64822358738.14027,2.254997964407468,SS,Non-Family
066570.KS,KS,LG ELECTRONICS INC,South Korea,Technology,11215806687.414625,64787589228.54827,3.357467666312486,KS,Family
2007.HK,HK,COUNTRY GARDEN HOLDINGS CO,China,Real Estate,9458294912.011133,63998868951.96998,NA,HK,Family
PKN.WA,PW,ORLEN SA,Poland,Energy,17071583441.834913,63559343160.697525,5.647817057050064,WA,Non-Family
2328.HK,HK,PICC PROPERTY & CASUALTY-H,China,Financials,21126023974.71951,63552300542.746284,12.943722072188013,HK,Non-Family
ULVR.L,LN,UNILEVER PLC,United Kingdom,Consumer Staples,128106127623.7824,63273713578.76896,10.401299570256995,L,Non-Family
1211.HK,HK,BYD CO LTD-H,China,Consumer Discretionary,94645076081.52379,63060478373.727066,22.423318619081623,HK,Non-Family
INTC,US,INTEL CORP,United States,Technology,109340909568,63054000128,7.0764459997387785,NA,Non-Family
HPQ,US,HP INC,United States,Technology,27067600896,62910001152,8.604107684642614,NA,Non-Family
ATD.TO,CN,ALIMENTATION COUCHE-TARD INC,Canada,Consumer Staples,46047485952,62809899008,19.61605790775014,TO,Family
0883.HK,HK,CNOOC LTD,China,Energy,63610969061.54872,62788249257.920425,11.89025542113622,HK,Non-Family
MUV2.DE,GR,MUENCHENER RUECKVER AG-REG,Germany,Financials,44818602498.048,62730219012.63468,12.575515043478003,DE,Non-Family
SNX,US,TD SYNNEX CORP,United States,Technology,9682387968,62343811072,12.761153185810947,NA,Non-Family
AIR.PA,FP,AIRBUS SE,France,Industrials,93651235637.6576,61893917218.16876,11.841010669860697,PA,Non-Family
ACN,US,ACCENTURE PLC-CL A,Ireland,Technology,182211067904,61594304512,16.42686413654244,NA,Non-Family
5401.T,JP,NIPPON STEEL CORP,Japan,Materials,16446307721.224087,60637342322.37846,3.6663254776201137,T,Non-Family
096770.KS,KS,SK INNOVATION CO LTD,South Korea,Energy,10675026540.650522,60588032858.19161,NA,KS,Non-Family
IBM,US,INTL BUSINESS MACHINES CORP,United States,Technology,127659294720,60529999872,6.063715987347695,NA,Non-Family
HCA,US,HCA HEALTHCARE INC,United States,Health Care,66559696896,60232998912,NA,NA,Non-Family
5019.T,JP,IDEMITSU KOSAN CO LTD,Japan,Energy,8254351390.325765,59549706699.832664,NA,T,Family
601166.SS,CH,INDUSTRIAL BANK CO LTD -A,China,Financials,52970037718.95747,59453509590.38702,NA,SS,Non-Family
CAT,US,CATERPILLAR INC,United States,Industrials,123695726592,59427000320,12.814145354276473,NA,Non-Family
MRK,US,MERCK & CO. INC.,United States,Health Care,281572671488,59283001344,10.86154608704273,NA,Non-Family
WKC,US,WORLD KINECT CORP,United States,Industrials,1694460032,59043098624,4.095187430367009,NA,Non-Family
EBK.DE,GR,ENBW ENERGIE BADEN-WUERTTEMB,Germany,Utilities,25239816363.827198,58986441099.69784,7.938195254934288,DE,Non-Family
EPD,US,ENTERPRISE PRODUCTS PARTNERS,United States,Energy,52359847936,58185998336,10.673328785776025,NA,Family
1919.HK,HK,COSCO SHIPPING HOLDINGS CO-H,China,Industrials,22426044713.999943,58152850166.23069,NA,HK,Non-Family
ABBV,US,ABBVIE INC,United States,Health Care,285917380608,58054000640,NA,NA,Non-Family
BUD,US,ANHEUSER-BUSCH INBEV SA/NV,Belgium,Consumer Staples,119564378112,57785999360,8.777708904306824,NA,Family
BBU-U.TO,CN,BROOKFIELD BUSINESS PT-UNIT,Canada,Financials,1262291456,57385000960,NA,TO,Non-Family
PAA,US,PLAINS ALL AMER PIPELINE LP,United States,Energy,8212648960,57342001152,5.780177767207562,NA,Non-Family
PAGP,US,PLAINS GP HOLDINGS LP-CL A,United States,Energy,2418430976,57342001152,NA,NA,Non-Family
7181.T,JP,JAPAN POST INSURANCE CO LTD,Japan,Financials,7020580121.355709,56903761527.787476,NA,T,Non-Family
DOW,US,DOW INC,United States,Materials,35518898176,56902000640,NA,NA,Non-Family
PRU,US,PRUDENTIAL FINANCIAL INC,United States,Financials,36398653440,56881000448,6.728060447272388,NA,Non-Family
IBE.MC,SM,IBERDROLA SA,Spain,Utilities,72377898970.7264,56823425309.99776,10.352990972371035,MC,Non-Family
TUPRS.IS,TI,TUPRAS-TURKIYE PETROL RAFINE,Turkey,Energy,7794219800.039543,56072669570.109795,34.947650405105705,IS,Non-Family
AXP,US,AMERICAN EXPRESS CO,United States,Financials,109778247680,55624998912,8.90038239415032,NA,Non-Family
BBAS3.SA,BZ,BANCO DO BRASIL S.A.,Brazil,Financials,18745046890.864384,55603264142.800064,16.325433632956997,SA,Non-Family
RIO.AX,AU,RIO TINTO LTD,Australia,Materials,128667009024,55553998848,12.91027322022542,AX,Non-Family
RIO.L,LN,RIO TINTO PLC,United Kingdom,Materials,113694277632,55553998848,13.926772946640241,L,Non-Family
9984.T,JP,SOFTBANK GROUP CORP,Japan,Communications,75308536822.90227,55406575248.507614,11.866211872287025,T,Non-Family
015760.KS,KS,KOREA ELECTRIC POWER CORP,South Korea,Utilities,11140418428.517298,55310569429.91784,-0.2054651617626302,KS,Family
0998.HK,HK,CHINA CITIC BANK CORP LTD-H,China,Financials,31182274562.374977,55153072133.46673,NA,HK,Non-Family
600019.SS,CH,BAOSHAN IRON & STEEL CO-A,China,Materials,18044122705.476475,54881223096.61605,4.452248905593703,SS,Non-Family
ITUB4.SA,BZ,ITAU UNIBANCO HOLDING S-PREF,Brazil,Financials,46344178442.21676,54692755306.190094,14.545880129471044,SA,Family
2628.HK,HK,CHINA LIFE INSURANCE CO-H,China,Financials,124828058692.48834,54557654084.91131,5.727213356035743,HK,Non-Family
SBER.ME,RM,SBERBANK OF RUSSIA PJSC,Russia,Financials,43564926383.14611,54547036366.60146,20.490056815056,ME,Non-Family
3996.HK,HK,CHINA ENERGY ENGINEERING C-H,China,Industrials,11845144417.707941,54485356245.55672,NA,HK,Non-Family
AIG,US,AMERICAN INTERNATIONAL GROUP,United States,Financials,46426259456,54449999872,-12.353274618063171,NA,Non-Family
SBIN.NS,IN,STATE BANK OF INDIA,India,Financials,58023479388.300575,54159775322.75661,14.544819200250569,NS,Non-Family
600000.SS,CH,SHANGHAI PUDONG DEVEL BANK-A,China,Financials,30974955901.777176,54027663217.66034,11.039339360553768,SS,Non-Family
